aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,0,0.9962782263755798,0.2332,0.0006529925740323961
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,5,0.9348074793815613,0.5092,0.001626199926249683
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,11,0.8641512393951416,0.6332,0.002410492394119501
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,16,0.807819128036499,0.7185,0.0029300858732312918
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,22,0.7440218329429626,0.7843,0.0034725929144769907
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,27,0.6950359344482422,0.7638,0.003873172216117382
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,33,0.6402556896209717,0.7991,0.004314820747822523
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,38,0.5981172919273376,0.8052,0.00465649738907814
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,44,0.5516364574432373,0.8238,0.005041636060923338
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,50,0.5097374320030212,0.8218,0.005402789916843176
