aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,0,0.9981064200401306,0.2986,0.0006224083481356502
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,5,0.9455460906028748,0.5619,0.0014734896831214428
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,11,0.8834013342857361,0.6656,0.0021814994979649782
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,16,0.8333700299263,0.738,0.0026529375463724136
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,22,0.776215672492981,0.767,0.0031399002764374018
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,27,0.7309141159057617,0.7871,0.00350490165874362
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,33,0.680346667766571,0.8086,0.0039036720991134644
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,38,0.641068696975708,0.8229,0.004213668871670961
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,44,0.5973309874534607,0.8318,0.004557642620056868
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,50,0.5565280318260193,0.8454,0.004884629976004362
