aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.3,5.0,1,0.05,resnet18,0,1.0044386386871338,0.2968,0.0006139196339063346
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.3,5.0,1,0.05,resnet18,5,0.9938935041427612,0.5561,0.001448236289434135
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.3,5.0,1,0.05,resnet18,11,0.9807195067405701,0.6629,0.0021457404363900423
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.3,5.0,1,0.05,resnet18,16,0.9694802165031433,0.7291,0.0026117288507521152
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.3,5.0,1,0.05,resnet18,22,0.9558779001235962,0.7641,0.0030956342816352844
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.3,5.0,1,0.05,resnet18,27,0.9445250034332275,0.7766,0.0034559827763587236
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.3,5.0,1,0.05,resnet18,33,0.9310086369514465,0.8049,0.0038500067312270403
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.3,5.0,1,0.05,resnet18,38,0.9198711514472961,0.8149,0.0041556223295629025
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.3,5.0,1,0.05,resnet18,44,0.9066330790519714,0.8327,0.004495898261666298
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.3,5.0,1,0.05,resnet18,50,0.8934081196784973,0.8407,0.0048181237652897835
