aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,0,0.9961357116699219,0.3875,0.000657810945995152
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,5,0.9359222650527954,0.6346,0.0016217611264437437
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,11,0.8652198910713196,0.7394,0.0024137794971466064
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,16,0.8083140850067139,0.7857,0.0029419034253805876
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,22,0.7445285320281982,0.8113,0.003485466353595257
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,27,0.6950792074203491,0.8328,0.003889391664415598
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,33,0.6398840546607971,0.8498,0.004336755722761154
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,38,0.5976841449737549,0.8602,0.004683231003582478
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,44,0.5513991713523865,0.8694,0.005071765743196011
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,50,0.5095013976097107,0.878,0.005437610670924187
