aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
SIMPLE,OneshotOurs,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,0,1.0059874057769775,0.3037,0.000622703111730516
SIMPLE,OneshotOurs,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,5,1.0060272216796875,0.5702,0.0014749281108379364
SIMPLE,OneshotOurs,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,11,1.006126046180725,0.6728,0.0021630404517054558
SIMPLE,OneshotOurs,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,16,1.006205439567566,0.7195,0.0026267808862030506
SIMPLE,OneshotOurs,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,22,1.0062928199768066,0.7539,0.003109570126980543
SIMPLE,OneshotOurs,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,27,1.0063663721084595,0.7853,0.0034699244424700737
SIMPLE,OneshotOurs,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,33,1.0064592361450195,0.7994,0.0038647493347525597
SIMPLE,OneshotOurs,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,38,1.0065265893936157,0.8161,0.004167552571743727
SIMPLE,OneshotOurs,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,44,1.0066174268722534,0.827,0.0045079998672008514
SIMPLE,OneshotOurs,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,50,1.0067079067230225,0.839,0.004825524520128965
