aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
SIMPLE,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,0,0.9962782263755798,0.4043,0.0006529925740323961
SIMPLE,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,5,0.9348074793815613,0.6416,0.001626199926249683
SIMPLE,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,11,0.8641512393951416,0.7525,0.002410492394119501
SIMPLE,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,16,0.807819128036499,0.7921,0.0029300858732312918
SIMPLE,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,22,0.7440218329429626,0.83,0.0034725929144769907
SIMPLE,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,27,0.6950359344482422,0.8417,0.003873172216117382
SIMPLE,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,33,0.6402556896209717,0.8588,0.004314820747822523
SIMPLE,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,38,0.5981172919273376,0.863,0.00465649738907814
SIMPLE,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,44,0.5516364574432373,0.8769,0.005041636060923338
SIMPLE,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,50,0.5097374320030212,0.8846,0.005402789916843176
