aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,0,1.006043791770935,0.2879,0.0005537804681807756
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,5,1.0061218738555908,0.4327,0.0011769759003072977
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,11,1.0062212944030762,0.5884,0.0016877565067261457
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,16,1.0063039064407349,0.6227,0.0020332494750618935
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,22,1.0063955783843994,0.6831,0.0023939309176057577
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,27,1.0064669847488403,0.6879,0.002662921790033579
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,33,1.006550908088684,0.728,0.002963152714073658
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,38,1.0066132545471191,0.7333,0.0031934462022036314
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,44,1.00669527053833,0.7511,0.003454395569860935
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,50,1.0067564249038696,0.772,0.003696638625115156
