aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,0,1.0013054609298706,0.2869,0.0005557010299526155
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,5,0.9651947617530823,0.4377,0.00116717757191509
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,11,0.9209901690483093,0.57,0.0016786857740953565
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,16,0.8831484913825989,0.6496,0.0020338406320661306
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,22,0.8388234376907349,0.6963,0.0023998646065592766
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,27,0.8026829361915588,0.7141,0.002675470197573304
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,33,0.7613353729248047,0.7324,0.0029766098596155643
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,38,0.7283411026000977,0.743,0.003212726442143321
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,44,0.6905065774917603,0.7624,0.003479157341644168
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,50,0.6545195579528809,0.7826,0.0037304931320250034
