aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.05,5.0,1,0.05,resnet18,0,1.0052975416183472,0.29,0.0005079971742816269
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.05,5.0,1,0.05,resnet18,5,0.9994282126426697,0.4201,0.0010344629408791661
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.05,5.0,1,0.05,resnet18,11,0.9918451309204102,0.5054,0.0014786066021770239
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.05,5.0,1,0.05,resnet18,16,0.9850771427154541,0.5385,0.0017852582968771458
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.05,5.0,1,0.05,resnet18,22,0.9765297174453735,0.5765,0.0021031987853348255
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.05,5.0,1,0.05,resnet18,27,0.9692422151565552,0.6159,0.0023405710235238075
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.05,5.0,1,0.05,resnet18,33,0.9604570865631104,0.6298,0.0025995862670242786
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.05,5.0,1,0.05,resnet18,38,0.9530877470970154,0.6423,0.0028001193422824144
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.05,5.0,1,0.05,resnet18,44,0.9441730976104736,0.6519,0.003026422346010804
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.05,5.0,1,0.05,resnet18,50,0.9353156685829163,0.6744,0.0032390886917710304
