aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,0,1.002295970916748,0.2731,0.000500058988109231
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,5,0.9723805785179138,0.4098,0.0010505398968234658
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,11,0.9362093806266785,0.4979,0.001500583253800869
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,16,0.9051117300987244,0.55,0.0018082087626680732
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,22,0.8677499294281006,0.6178,0.002129186410456896
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,27,0.8370789289474487,0.638,0.002369803376495838
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,33,0.801317036151886,0.6737,0.002638141391798854
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,38,0.7728074193000793,0.6745,0.002844874979928136
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,44,0.7403923273086548,0.7228,0.003076347755268216
ADVANCED IFFI,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,50,0.709775984287262,0.7191,0.0032930891029536724
